Dag,Well,Actieve electrodes ratio,Nummer actieve electrodes,Gem. Spikes per well,Bursts per well,Network bursts per well,Gem. Spike amplitude,Huntington
15,1,0.015625,1,1249,110,0,0.00001115464492187500,50-A
15,2,0.171875,11,210.0909091,3.818181818,0,0.00000720186883007062,45-A
15,3,0.09375,6,77,3.166666667,0,0.00000735197177893566,CG-A
15,4,0.03125,2,171.5,1,0,0.00000712965212973733,50-B
15,5,0.078125,5,122,7.2,0,0.00000819135801219099,45-B
15,6,0.234375,15,132.8666667,3.266666667,0,0.00000723766406393117,CG-B
17,2,0.234375,15,206.7333333,7.333333333,0,0.00000710512756929285,45-A
17,3,0.125,8,191.75,10.25,0,0.00000767658929303603,CG-A
17,5,0.28125,18,99.44444444,2.333333333,0,0.00000789411500804252,45-B
17,6,0.25,16,168.625,9.375,0,0.00000762733234893253,CG-B
18,2,0.25,16,218.9375,3.5625,0,0.00000713287210161867,45-A
18,3,0.15625,10,224.5,11.9,0,0.00000729745698532670,CG-A
18,5,0.28125,18,95.66666667,1.444444444,0,0.00000794064221775025,45-B
18,6,0.265625,17,218.0588235,11.88235294,0,0.00000749828944299496,CG-B
21,2,0.171875,11,62.81818182,0.090909091,0,0.00000711134279423573,45-A
21,3,0.15625,10,140.3,7.1,0,0.00000688358512372413,CG-A
21,5,0.09375,6,187,7.166666667,0,0.00000772835200866238,45-B
21,6,0.3125,20,189.8,5.05,0,0.00000688175047266823,CG-B
23,2,0.203125,13,153.6153846,1.153846154,0,0.00000718795536549485,45-A
23,3,0.28125,18,183.5,6.722222222,0,0.00000669026488686400,CG-A
23,5,0.15625,10,101,2.7,0,0.00000803996451038468,45-B
23,6,0.328125,21,229.8571429,8.666666667,0,0.00000769511759857047,CG-B
