well,row_major_row,row_major_col,row_major_label,column_major_row,column_major_col,column_major_label
1,1,1,A1,1,1,A1
2,1,2,A2,2,1,B1
3,1,3,A3,3,1,C1
4,1,4,A4,4,1,D1
5,1,5,A5,5,1,E1
6,1,6,A6,6,1,F1
7,1,7,A7,1,2,A2
8,1,8,A8,2,2,B2
9,2,1,B1,3,2,C2
10,2,2,B2,4,2,D2
11,2,3,B3,5,2,E2
12,2,4,B4,6,2,F2
13,2,5,B5,1,3,A3
14,2,6,B6,2,3,B3
15,2,7,B7,3,3,C3
16,2,8,B8,4,3,D3
17,3,1,C1,5,3,E3
18,3,2,C2,6,3,F3
19,3,3,C3,1,4,A4
20,3,4,C4,2,4,B4
21,3,5,C5,3,4,C4
22,3,6,C6,4,4,D4
23,3,7,C7,5,4,E4
24,3,8,C8,6,4,F4
25,4,1,D1,1,5,A5
26,4,2,D2,2,5,B5
27,4,3,D3,3,5,C5
28,4,4,D4,4,5,D5
29,4,5,D5,5,5,E5
30,4,6,D6,6,5,F5
31,4,7,D7,1,6,A6
32,4,8,D8,2,6,B6
33,5,1,E1,3,6,C6
34,5,2,E2,4,6,D6
35,5,3,E3,5,6,E6
36,5,4,E4,6,6,F6
37,5,5,E5,1,7,A7
38,5,6,E6,2,7,B7
39,5,7,E7,3,7,C7
40,5,8,E8,4,7,D7
41,6,1,F1,5,7,E7
42,6,2,F2,6,7,F7
43,6,3,F3,1,8,A8
44,6,4,F4,2,8,B8
45,6,5,F5,3,8,C8
46,6,6,F6,4,8,D8
47,6,7,F7,5,8,E8
48,6,8,F8,6,8,F8
