id,date,n_wells_inactive,n_wells_total,fraction_wells_inactive,inactive_wells
1,2025-01-27,4,48,0.08333333333333333,"17,33,34,35"
2,2025-01-28,0,48,0.0,
3,2025-01-29,0,48,0.0,
4,2025-01-30,0,48,0.0,
5,2025-01-31,0,48,0.0,
6,2025-02-03,0,48,0.0,
7,2025-02-04,4,48,0.08333333333333333,"45,46,47,48"
8,2025-02-05,0,48,0.0,
9,2025-02-06,0,48,0.0,
10,2025-02-07,0,48,0.0,
11,2025-02-11,0,48,0.0,
12,2025-02-12,0,48,0.0,
13,2025-02-13,0,48,0.0,
14,2025-02-14,0,48,0.0,
15,2025-02-17,0,48,0.0,
16,2025-02-18,0,48,0.0,
17,2025-02-19,0,48,0.0,
18,2025-02-20,0,48,0.0,
19,2025-02-21,0,48,0.0,
20,2025-02-24,0,48,0.0,
21,2025-02-25,0,48,0.0,
22,2025-02-26,0,48,0.0,
23,2025-02-27,0,48,0.0,
24,2025-02-28,0,48,0.0,
25,2025-03-03,0,48,0.0,
26,2025-03-04,0,48,0.0,
27,2025-03-05,0,48,0.0,
28,2025-03-06,0,48,0.0,
29,2025-03-10,0,48,0.0,
30,2025-03-12,0,48,0.0,
31,2025-03-13,0,48,0.0,
32,2025-03-14,0,48,0.0,
33,2025-03-17,0,48,0.0,
34,2025-03-18,0,48,0.0,
35,2025-03-19,0,48,0.0,
36,2025-03-20,0,48,0.0,
37,2025-03-21,0,48,0.0,
38,2025-03-24,0,48,0.0,
39,2025-03-25,0,48,0.0,
40,2025-03-26,0,48,0.0,
41,2025-03-27,0,48,0.0,
